meta_id,meta_name,meta_owner,meta_visualization,prompt_context_dataset_name,query_type,has_service,limit,sparql_len,declared_prefix_count,prefix_count,exec_class,exec_error
65dc6211b5206a85a262ce4a,demo-building-plan-personal-info,LADM,table,Integrated Portal for Land Administration,SELECT,False,1.0,735,7,1,missing,
65dc6b7cfebe463edb00f35d,demo-building-permit-spatial-information-map,LADM,geo,Integrated Portal for Land Administration,SELECT,False,5.0,2082,7,1,missing,
65dc6c0ab5206a85a26aed0a,demo-building-permit-law-restrictions,LADM,table,Integrated Portal for Land Administration,SELECT,False,5.0,1547,6,1,missing,
65e59c78b5206a85a2cd7bdc,termennetwerk,Wouter Beek,table,Unknown,SELECT,False,100.0,1443,5,0,missing,
65f819c20f02f380e9f66426,ar-adres-details,AR Applicatie,Table,Unknown,SELECT,False,,2500,14,0,missing,
65fad6420f02f380e931676d,demo-registered-person-address,LADM,table,Integrated Portal for Land Administration,SELECT,False,5.0,1170,3,1,missing,
65fdb5f2e387ae81df3c2c78,demo-transaction-current-ownership,LADM,table,Integrated Portal for Land Administration,SELECT,False,5.0,1481,7,1,missing,
65fdb9d40f02f380e994abe7,demo-real-estate-transaction-building-info-map,LADM,geo,Integrated Portal for Land Administration,SELECT,False,10.0,2180,7,1,missing,
6615385e8aa0ef909c43ab68,bag-pand-adres-koppeling,Data Science Team (DST),response,Unknown,SELECT,False,,1216,6,0,missing,
661795f3ad929ce14b12a3d7,rce-kkg-federatief-simpel,Data Science Team (DST),table,Unknown,SELECT,True,5.0,789,5,0,missing,
662b5d7f887f72074acd01e0,BGT First results,Hans Schevers,Network,BGT-Test,CONSTRUCT,False,10.0,51,0,1,missing,
662b5db8887f72074acd6fc6,BGT-Test triples,Hans Schevers,Table,BGT-Test,SELECT,False,,30,0,1,missing,
662bbe15854a204afed1ea40,calathe-quality,Lexi Rowland,Table,datascience-calathebegrippen-ld,SELECT,True,,701,1,1,missing,
66b217118d0b93e5221ba5f3,structuur bag 10,Hans Schevers,,Unknown,,False,,0,0,0,missing,
66e7ecc725bd8f988a209fec,Aantal Panden,Hans Schevers,,Unknown,,False,,0,0,0,missing,
670cc73f53b748a6c391920b,religieuze-gebouwen-aantallen,Kadaster,Charts,Kadaster Knowledge Graph (KKG),SELECT,False,,383,2,9,missing,
670e453e67233b08fece55e4,gebouw-denominatie,Kadaster,Table,Kadaster Knowledge Graph (KKG),SELECT,False,,7744,2,9,missing,
67224959810ffc0cce74f43c,reconstructie-van-de-religie-hierarchie,Kadaster,Charts,Kadaster Knowledge Graph (KKG),SELECT,False,,7382,2,9,missing,
67224bfa810ffc0cce840957,uitgesloten-denominatie-informatie,Kadaster,Table,Kadaster Knowledge Graph (KKG),SELECT,False,,377,2,9,missing,
67224c94810ffc0cce88f12d,religieuze-gebouwen-herontwikkeld,Kadaster,Geo,Kadaster Knowledge Graph (KKG),SELECT,False,,1079,6,9,missing,
67224e12810ffc0cce920f64,religieuze-gebouw-op-kaart,Kadaster,Geo,Kadaster Knowledge Graph (KKG),SELECT,False,,1322,6,9,missing,
67224f2e0dcaf35f1323db2d,crowdsourced-data,Kadaster,Gallery,Kadaster Knowledge Graph (KKG),SELECT,True,6.0,1645,12,9,missing,
6722512e810ffc0ccea39008,rce-monumenten-kkg-federatief,Kadaster,Geo,Kadaster Knowledge Graph (KKG),SELECT,True,10.0,2245,12,9,missing,
67234c87810ffc0ccedc2634,tutorial-apeldoorn,Kadaster,Table,Kadaster Knowledge Graph (KKG),SELECT,False,10.0,74,0,9,missing,
67234cb7810ffc0ccedfe21a,tutorial-apeldoorn-prefix,Kadaster,Table,Kadaster Knowledge Graph (KKG),SELECT,False,10.0,182,2,9,missing,
67234ce70dcaf35f1360afc7,tutorial-woonplaatsen,Kadaster,Table,Kadaster Knowledge Graph (KKG),SELECT,False,,219,2,9,missing,
67234d45810ffc0ccee62ce6,tutorial-woonplaats-openbare-ruimte,Kadaster,Table,Kadaster Knowledge Graph (KKG),SELECT,False,10.0,367,2,9,missing,
67234d75810ffc0ccee89fdb,tutorial-adresgegevens,Kadaster,Table,Kadaster Knowledge Graph (KKG),SELECT,False,100.0,518,3,9,missing,
67234da10dcaf35f1367f202,tutorial-adresgegevens-gebruiksdoel,Kadaster,Table,Kadaster Knowledge Graph (KKG),SELECT,False,100.0,616,3,9,missing,
67234e320dcaf35f136bd51c,tutorial-adresgegevens-kantoorruimte,Kadaster,Table,Kadaster Knowledge Graph (KKG),SELECT,False,100.0,799,2,9,missing,
67234e630dcaf35f136ed57d,tutorial-geometrie,Kadaster,Geo,Kadaster Knowledge Graph (KKG),SELECT,False,50.0,919,4,9,missing,
67234e8a810ffc0ccef137e3,geometrie-uit-kkg,Kadaster,Geo,Kadaster Knowledge Graph (KKG),SELECT,False,100.0,823,7,9,missing,
67334cb10dcaf35f1305d474,geldig-woonplaatsen,Kadaster,Table,Kadaster Knowledge Graph (KKG),SELECT,False,10.0,276,2,9,missing,
67337b190dcaf35f13fa0a2f,tutorial-adres-en-adres-data-op-kaart,Kadaster,Geo,Kadaster Knowledge Graph (KKG),SELECT,False,100.0,748,5,9,missing,
67337b740dcaf35f13ff2ab2,tutorial-bag-objecten-uit-kkg,Kadaster,Table,Kadaster Knowledge Graph (KKG),SELECT,False,10.0,510,4,9,missing,
67337bfb810ffc0cce339252,tutorial-adres-op-kaart-met-gebouwtypes,Kadaster,Geo,Kadaster Knowledge Graph (KKG),SELECT,False,10.0,1376,5,9,missing,
673777870dcaf35f13234bfb,loki-afstand-tot,Kadaster,Table,Kadaster Knowledge Graph (KKG),SELECT,False,1.0,1175,7,9,missing,
